word,translation,language,category,subcategory,part_of_speech,curriculum_level,example_sentence,example_translation,gender,article,base_word,,
le toit,roof,FR,home_local_area,house_rooms,noun,KS3,Le toit est rouge.,The roof is red.,m,le,le toit,,
le mur,wall,FR,home_local_area,house_rooms,noun,KS3,Le mur est blanc.,The wall is white.,m,le,le mur,,
la salle à manger,dining room,FR,home_local_area,house_rooms,noun,KS3,Nous mangeons dans la salle à manger.,We eat in the dining room.,f,la,la salle à manger,,
les toilettes,toilet / WC,FR,home_local_area,house_rooms,noun,KS3,"Où sont les toilettes, s'il vous plaît ?","Where is the toilet, please?",f,les,les toilettes,,
la porte,door,FR,home_local_area,house_rooms,noun,KS3,"Ferme la porte, s'il te plaît.","Close the door, please.",f,la,la porte,,
la maison,house,FR,home_local_area,house_rooms,noun,KS3,Ma maison est petite.,My house is small.,f,la,la maison,,
l'ascenseur,elevator,FR,home_local_area,house_rooms,noun,KS3,Prenez l'ascenseur au cinquième étage.,Take the elevator to the fifth floor.,m,l',l'ascenseur,,
le plafond,ceiling,FR,home_local_area,house_rooms,noun,KS3,Le plafond est haut.,The ceiling is high.,m,le,le plafond,,
la cave,basement/cellar,FR,home_local_area,house_rooms,noun,KS3,La cave est sombre.,The basement is dark.,f,la,la cave,,
la cuisine,kitchen,FR,home_local_area,house_rooms,noun,KS3,La cuisine est moderne.,The kitchen is modern.,f,la,la cuisine,,
le grenier,attic,FR,home_local_area,house_rooms,noun,KS3,Il y a de vieilles choses dans le grenier.,There are old things in the attic.,m,le,le grenier,,
le balcon,balcony,FR,home_local_area,house_rooms,noun,KS3,J'ai des fleurs sur le balcon.,I have flowers on the balcony.,m,le,le balcon,,
le garage,garage,FR,home_local_area,house_rooms,noun,KS3,La voiture est dans le garage.,The car is in the garage.,m,le,le garage,,
l'appartement,apartment,FR,home_local_area,house_rooms,noun,KS3,J'habite dans un appartement.,I live in an apartment.,m,l',l'appartement,,
l'escalier,stairs,FR,home_local_area,house_rooms,noun,KS3,Monte les escaliers.,Go up the stairs.,m,l',l'escalier,,
la chambre,room/bedroom,FR,home_local_area,house_rooms,noun,KS3,Ma chambre est confortable.,My bedroom is comfortable.,f,la,la chambre,,
la salle de bains,bathroom,FR,home_local_area,house_rooms,noun,KS3,La salle de bains est à droite.,The bathroom is on the right.,f,la,la salle de bains,,
la fenêtre,window,FR,home_local_area,house_rooms,noun,KS3,"Ouvre la fenêtre, s'il te plaît.","Open the window, please.",f,la,la fenêtre,,
le jardin,garden,FR,home_local_area,house_rooms,noun,KS3,Les enfants jouent dans le jardin.,The children play in the garden.,m,le,le jardin,,
die Garage,garage,DE,home_local_area,house_rooms,noun,KS3,Das Auto ist in der Garage.,The car is in the garage.,f,die,die Garage,,
das Wohnzimmer,living room,DE,home_local_area,house_rooms,noun,KS3,Wir sehen im Wohnzimmer fern.,We watch TV in the living room.,n,das,das Wohnzimmer,,
das Esszimmer,dining room,DE,home_local_area,house_rooms,noun,KS3,Wir essen im Esszimmer.,We eat in the dining room.,n,das,das Esszimmer,,
das Schlafzimmer,bedroom,DE,home_local_area,house_rooms,noun,KS3,Mein Schlafzimmer ist groß.,My bedroom is big.,n,das,das Schlafzimmer,,
die Tür,door,DE,home_local_area,house_rooms,noun,KS3,Schließe bitte die Tür.,"Close the door, please.",f,die,die Tür,,
die Wohnung,flat/apartment,DE,home_local_area,house_rooms,noun,KS3,Ich wohne in einer Wohnung in der Stadt.,I live in a flat in the city.,f,die,die Wohnung,,
das Badezimmer,bathroom,DE,home_local_area,house_rooms,noun,KS3,Das Badezimmer ist sauber.,The bathroom is clean.,n,das,das Badezimmer,,
die Küche,kitchen,DE,home_local_area,house_rooms,noun,KS3,Mama kocht in der Küche.,Mom is cooking in the kitchen.,f,die,die Küche,,
das Haus,house,DE,home_local_area,house_rooms,noun,KS3,Mein Haus ist groß und schön.,My house is big and beautiful.,n,das,das Haus,,
das Zimmer,room,DE,home_local_area,house_rooms,noun,KS3,Wie viele Zimmer hat das Haus?,How many rooms does the house have?,n,das,das Zimmer,,
das Fenster,window,DE,home_local_area,house_rooms,noun,KS3,"Öffne das Fenster, es ist warm.","Open the window, it's warm.",n,das,das Fenster,,
der Garten,garden,DE,home_local_area,house_rooms,noun,KS3,Wir spielen im Garten.,We play in the garden.,m,der,der Garten,,
die Terrasse,terrace,DE,home_local_area,house_rooms,noun,KS3,Wir haben eine große Terrasse.,We have a large terrace.,f,die,die Terrasse,,
der Boden,floor/ground,DE,home_local_area,house_rooms,noun,KS3,Der Boden ist aus Holz.,The floor is made of wood.,m,der,der Boden,,
das Dach,roof,DE,home_local_area,house_rooms,noun,KS3,Das Dach ist rot.,The roof is red.,n,das,das Dach,,
die Wand,wall,DE,home_local_area,house_rooms,noun,KS3,Die Wand ist weiß.,The wall is white.,f,die,die Wand,,
der Keller,basement/cellar,DE,home_local_area,house_rooms,noun,KS3,Der Keller ist dunkel.,The basement is dark.,m,der,der Keller,,
der Dachboden,attic,DE,home_local_area,house_rooms,noun,KS3,Im Dachboden sind alte Sachen.,There are old things in the attic.,m,der,der Dachboden,,
der Balkon,balcony,DE,home_local_area,house_rooms,noun,KS3,Ich habe Blumen auf dem Balkon.,I have flowers on the balcony.,m,der,der Balkon,,
der Aufzug,elevator,DE,home_local_area,house_rooms,noun,KS3,Nehmen Sie den Aufzug in den fünften Stock.,Take the elevator to the fifth floor.,m,der,der Aufzug,,
die Treppe,stairs,DE,home_local_area,house_rooms,noun,KS3,Gehen Sie die Treppe hinauf.,Go up the stairs.,f,die,die Treppe,,
die Toilette,toilet,DE,home_local_area,house_rooms,noun,KS3,"Wo ist die Toilette, bitte?","Where is the toilet, please?",f,die,die Toilette,,
die Decke,ceiling,DE,home_local_area,house_rooms,noun,KS3,Die Decke ist hoch.,The ceiling is high.,f,die,die Decke,,
el sofá,sofa,ES,home_local_area,furniture,noun,KS3,El sofá es muy cómodo.,The sofa is very comfortable.,m,el,el sofá,,
el armario,wardrobe,ES,home_local_area,furniture,noun,KS3,Guarda tu ropa en el armario.,Put your clothes in the wardrobe.,m,el,el armario,,
la silla,chair,ES,home_local_area,furniture,noun,KS3,Siéntate en la silla.,Sit on the chair.,f,la,la silla,,
la mesa,table,ES,home_local_area,furniture,noun,KS3,Pon los platos en la mesa.,Put the plates on the table.,f,la,la mesa,,
la cama,bed,ES,home_local_area,furniture,noun,KS3,Mi cama es muy blanda.,My bed is very soft.,f,la,la cama,,
la estantería,bookshelf/shelf,ES,home_local_area,furniture,noun,KS3,Los libros están en la estantería.,The books are on the bookshelf.,f,la,la estantería,,
el sillón,armchair,ES,home_local_area,furniture,noun,KS3,Mi abuelo se sienta en su sillón.,My grandfather sits in his armchair.,m,el,el sillón,,
la cómoda,chest of drawers,ES,home_local_area,furniture,noun,KS3,Guarda tus calcetines en la cómoda.,Put your socks in the chest of drawers.,f,la,la cómoda,,
el espejo,mirror,ES,home_local_area,furniture,noun,KS3,Mírate en el espejo.,Look at yourself in the mirror.,m,el,el espejo,,
la cortina,curtain,ES,home_local_area,furniture,noun,KS3,La cortina es azul.,The curtain is blue.,f,la,la cortina,,
la alfombra,carpet/rug,ES,home_local_area,furniture,noun,KS3,La alfombra es muy suave.,The rug is very soft.,f,la,la alfombra,,
el escritorio,desk,ES,home_local_area,furniture,noun,KS3,Hago mis deberes en el escritorio.,I do my homework at the desk.,m,el,el escritorio,,
la lámpara,lamp,ES,home_local_area,furniture,noun,KS3,"Enciende la lámpara, por favor.","Turn on the lamp, please.",f,la,la lámpara,,
la commode,chest of drawers,FR,home_local_area,furniture,noun,KS3,Mets tes chaussettes dans la commode.,Put your socks in the chest of drawers.,f,la,la commode,,
le canapé,sofa,FR,home_local_area,furniture,noun,KS3,Le canapé est très confortable.,The sofa is very comfortable.,m,le,le canapé,,
le fauteuil,armchair,FR,home_local_area,furniture,noun,KS3,Mon grand-père s'assied dans son fauteuil.,My grandfather sits in his armchair.,m,le,le fauteuil,,
le miroir,mirror,FR,home_local_area,furniture,noun,KS3,Regarde-toi dans le miroir.,Look at yourself in the mirror.,m,le,le miroir,,
l'étagère,shelf/bookshelf,FR,home_local_area,furniture,noun,KS3,Les livres sont sur l'étagère.,The books are on the shelf.,f,l',l'étagère,,
l'armoire,wardrobe,FR,home_local_area,furniture,noun,KS3,Range tes vêtements dans l'armoire.,Put your clothes in the wardrobe.,f,l',l'armoire,,
le rideau,curtain,FR,home_local_area,furniture,noun,KS3,Le rideau est bleu.,The curtain is blue.,m,le,le rideau,,
le tapis,carpet/rug,FR,home_local_area,furniture,noun,KS3,Le tapis est très doux.,The rug is very soft.,m,le,le tapis,,
la table,table,FR,home_local_area,furniture,noun,KS3,Mets les assiettes sur la table.,Put the plates on the table.,f,la,la table,,
la chaise,chair,FR,home_local_area,furniture,noun,KS3,Assieds-toi sur la chaise.,Sit on the chair.,f,la,la chaise,,
le lit,bed,FR,home_local_area,furniture,noun,KS3,Mon lit est très moelleux.,My bed is very soft.,m,le,le lit,,
le bureau,desk,FR,home_local_area,furniture,noun,KS3,Je fais mes devoirs au bureau.,I do my homework at the desk.,m,le,le bureau,,
la lampe,lamp,FR,home_local_area,furniture,noun,KS3,"Allume la lampe, s'il te plaît.","Turn on the lamp, please.",f,la,la lampe,,
das Sofa,sofa,DE,home_local_area,furniture,noun,KS3,Das Sofa ist sehr bequem.,The sofa is very comfortable.,n,das,das Sofa,,
der Schrank,wardrobe,DE,home_local_area,furniture,noun,KS3,Leg deine Kleidung in den Schrank.,Put your clothes in the wardrobe.,m,der,der Schrank,,
der Stuhl,chair,DE,home_local_area,furniture,noun,KS3,Setz dich auf den Stuhl.,Sit on the chair.,m,der,der Stuhl,,
der Tisch,table,DE,home_local_area,furniture,noun,KS3,Leg die Teller auf den Tisch.,Put the plates on the table.,m,der,der Tisch,,
das Bett,bed,DE,home_local_area,furniture,noun,KS3,Mein Bett ist sehr weich.,My bed is very soft.,n,das,das Bett,,
das Regal,shelf/bookshelf,DE,home_local_area,furniture,noun,KS3,Die Bücher sind im Regal.,The books are on the shelf.,n,das,das Regal,,
der Sessel,armchair,DE,home_local_area,furniture,noun,KS3,Mein Opa sitzt in seinem Sessel.,My grandpa sits in his armchair.,m,der,der Sessel,,
die Kommode,chest of drawers,DE,home_local_area,furniture,noun,KS3,Leg deine Socken in die Kommode.,Put your socks in the chest of drawers.,f,die,die Kommode,,
der Spiegel,mirror,DE,home_local_area,furniture,noun,KS3,Sieh dich im Spiegel an.,Look at yourself in the mirror.,m,der,der Spiegel,,
der Vorhang,curtain,DE,home_local_area,furniture,noun,KS3,Der Vorhang ist blau.,The curtain is blue.,m,der,der Vorhang,,
der Teppich,carpet/rug,DE,home_local_area,furniture,noun,KS3,Der Teppich ist sehr weich.,The rug is very soft.,m,der,der Teppich,,
der Schreibtisch,desk,DE,home_local_area,furniture,noun,KS3,Ich mache meine Hausaufgaben am Schreibtisch.,I do my homework at the desk.,m,der,der Schreibtisch,,
die Lampe,lamp,DE,home_local_area,furniture,noun,KS3,Mach bitte die Lampe an.,"Turn on the lamp, please.",f,die,die Lampe,,
el microondas,microwave,ES,home_local_area,household_items,noun,KS3,Caliento la comida en el microondas.,I heat food in the microwave.,m,el,el microondas,,
la nevera,fridge,ES,home_local_area,household_items,noun,KS3,La leche está en la nevera.,The milk is in the fridge.,f,la,la nevera,,
la lavadora,washing machine,ES,home_local_area,household_items,noun,KS3,Pon la ropa en la lavadora.,Put the clothes in the washing machine.,f,la,la lavadora,,
el horno,oven,ES,home_local_area,household_items,noun,KS3,Cocino el pollo en el horno.,I cook the chicken in the oven.,m,el,el horno,,
la televisión,television/TV,ES,home_local_area,household_items,noun,KS3,Vemos una película en la televisión.,We watch a movie on television.,f,la,la televisión,,
la llave,key,ES,home_local_area,household_items,noun,KS3,¿Tienes la llave de casa?,Do you have the house key?,f,la,la llave,,
el lavavajillas,dishwasher,ES,home_local_area,household_items,noun,KS3,Metemos los platos en el lavavajillas.,We put the dishes in the dishwasher.,m,el,el lavavajillas,,
el aspirador,vacuum cleaner,ES,home_local_area,household_items,noun,KS3,Usa el aspirador para limpiar.,Use the vacuum cleaner to clean.,m,el,el aspirador,,
el cubo de basura,trash can,ES,home_local_area,household_items,noun,KS3,Tira la basura en el cubo de basura.,Throw the trash in the trash can.,m,el,el cubo de basura,,
el teléfono,phone,ES,home_local_area,household_items,noun,KS3,Hablo por teléfono con mi amigo.,I talk on the phone with my friend.,m,el,el teléfono,,
la radio,radio,ES,home_local_area,household_items,noun,KS3,Escucho música en la radio.,I listen to music on the radio.,f,la,la radio,,
la escoba,broom,ES,home_local_area,household_items,noun,KS3,Usa la escoba para barrer el suelo.,Use the broom to sweep the floor.,f,la,la escoba,,
el cepillo,brush,ES,home_local_area,household_items,noun,KS3,Necesito un cepillo para el pelo.,I need a hairbrush.,m,el,el cepillo,,
le micro-ondes,microwave,FR,home_local_area,household_items,noun,KS3,Je chauffe la nourriture dans le micro-ondes.,I heat food in the microwave.,m,le,le micro-ondes,,
le four,oven,FR,home_local_area,household_items,noun,KS3,Je cuisine le poulet dans le four.,I cook the chicken in the oven.,m,le,le four,,
le balai,broom,FR,home_local_area,household_items,noun,KS3,Utilise le balai pour balayer le sol.,Use the broom to sweep the floor.,m,le,le balai,,
la clé,key,FR,home_local_area,household_items,noun,KS3,As-tu la clé de la maison ?,Do you have the house key?,f,la,la clé,,
la poubelle,trash can,FR,home_local_area,household_items,noun,KS3,Jette les ordures à la poubelle.,Throw the trash in the trash can.,f,la,la poubelle,,
le frigo,fridge,FR,home_local_area,household_items,noun,KS3,Le lait est dans le frigo.,The milk is in the fridge.,m,le,le frigo,,
la radio,radio,FR,home_local_area,household_items,noun,KS3,J'écoute de la musique à la radio.,I listen to music on the radio.,f,la,la radio,,
la télé,TV,FR,home_local_area,household_items,noun,KS3,Nous regardons un film à la télé.,We watch a movie on TV.,f,la,la télé,,
le lave-vaisselle,dishwasher,FR,home_local_area,household_items,noun,KS3,Mets la vaisselle dans le lave-vaisselle.,Put the dishes in the dishwasher.,m,le,le lave-vaisselle,,
l'aspirateur,vacuum cleaner,FR,home_local_area,household_items,noun,KS3,Utilise l'aspirateur pour nettoyer.,Use the vacuum cleaner to clean.,m,l',l'aspirateur,,
le lave-linge,washing machine,FR,home_local_area,household_items,noun,KS3,Mets les vêtements dans le lave-linge.,Put the clothes in the washing machine.,m,le,le lave-linge,,
le portable,mobile phone,FR,home_local_area,household_items,noun,KS3,Mon portable est dans ma poche.,My mobile phone is in my pocket.,m,le,le portable,,
la brosse,brush,FR,home_local_area,household_items,noun,KS3,J'ai besoin d'une brosse à cheveux.,I need a hairbrush.,f,la,la brosse,,
der Kühlschrank,fridge,DE,home_local_area,household_items,noun,KS3,Die Milch ist im Kühlschrank.,The milk is in the fridge.,m,der,der Kühlschrank,,
der Ofen,oven,DE,home_local_area,household_items,noun,KS3,Ich koche das Hähnchen im Ofen.,I cook the chicken in the oven.,m,der,der Ofen,,
die Mikrowelle,microwave,DE,home_local_area,household_items,noun,KS3,Ich wärme das Essen in der Mikrowelle auf.,I heat the food in the microwave.,f,die,die Mikrowelle,,
die Waschmaschine,washing machine,DE,home_local_area,household_items,noun,KS3,Leg die Wäsche in die Waschmaschine.,Put the laundry in the washing machine.,f,die,die Waschmaschine,,
der Geschirrspüler,dishwasher,DE,home_local_area,household_items,noun,KS3,Wir räumen das Geschirr in den Geschirrspüler.,We put the dishes in the dishwasher.,m,der,der Geschirrspüler,,
der Staubsauger,vacuum cleaner,DE,home_local_area,household_items,noun,KS3,Benutze den Staubsauger zum Putzen.,Use the vacuum cleaner to clean.,m,der,der Staubsauger,,
der Mülleimer,trash can,DE,home_local_area,household_items,noun,KS3,Wirf den Müll in den Mülleimer.,Throw the trash in the trash can.,m,der,der Mülleimer,,
das Telefon,phone,DE,home_local_area,household_items,noun,KS3,Ich spreche am Telefon mit meinem Freund.,I talk on the phone with my friend.,n,das,das Telefon,,
das Handy,mobile phone,DE,home_local_area,household_items,noun,KS3,Mein Handy ist in meiner Tasche.,My mobile phone is in my pocket.,n,das,das Handy,,
das Radio,radio,DE,home_local_area,household_items,noun,KS3,Ich höre Musik im Radio.,I listen to music on the radio.,n,das,das Radio,,
der Besen,broom,DE,home_local_area,household_items,noun,KS3,"Benutze den Besen, um den Boden zu fegen.",Use the broom to sweep the floor.,m,der,der Besen,,
der Fernseher,TV,DE,home_local_area,household_items,noun,KS3,Wir sehen einen Film im Fernseher.,We watch a movie on TV.,m,der,der Fernseher,,
der Schlüssel,key,DE,home_local_area,household_items,noun,KS3,Hast du den Hausschlüssel?,Do you have the house key?,m,der,der Schlüssel,,
die Bürste,brush,DE,home_local_area,household_items,noun,KS3,Ich brauche eine Haarbürste.,I need a hairbrush.,f,die,die Bürste,,
lavar el coche,to wash the car,ES,home_local_area,chores,verb_phrase,KS3,Lavo el coche los sábados.,I wash the car on Saturdays.,,,lavar el coche,,
hacer de canguro,to babysit,ES,home_local_area,chores,verb_phrase,KS3,Me gusta hacer de canguro a mis primos.,I like to babysit my cousins.,,,hacer de canguro,,
limpiar la casa,to clean the house,ES,home_local_area,chores,verb_phrase,KS3,Ayudo a limpiar la casa.,I help clean the house.,,,limpiar la casa,,
pasear al perro,to walk the dog,ES,home_local_area,chores,verb_phrase,KS3,Paseo al perro cada mañana.,I walk the dog every morning.,,,pasear al perro,,
no hacer nada,to do nothing,ES,home_local_area,chores,verb_phrase,KS3,A veces no hago nada.,Sometimes I do nothing.,,,no hacer nada,,
pasar la aspiradora,to vacuum,ES,home_local_area,chores,verb_phrase,KS3,Paso la aspiradora una vez a la semana.,I vacuum once a week.,,,pasar la aspiradora,,
poner la mesa,to set the table,ES,home_local_area,chores,verb_phrase,KS3,Siempre pongo la mesa para la cena.,I always set the table for dinner.,,,poner la mesa,,
planchar la ropa,to iron the clothes,ES,home_local_area,chores,verb_phrase,KS3,Mi padre plancha la ropa.,My father irons the clothes.,,,planchar la ropa,,
repartir periódicos,to deliver newspapers,ES,home_local_area,chores,verb_phrase,KS3,Reparto periódicos los domingos.,I deliver newspapers on Sundays.,,,repartir periódicos,,
fregar los platos,to wash the dishes,ES,home_local_area,chores,verb_phrase,KS3,"Después de comer, friego los platos.","After eating, I wash the dishes.",,,fregar los platos,,
hacer la cama,to make the bed,ES,home_local_area,chores,verb_phrase,KS3,Hago mi cama todos los días.,I make my bed every day.,,,hacer la cama,,
sacar la basura,to take out the trash,ES,home_local_area,chores,verb_phrase,KS3,Saco la basura por la noche.,I take out the trash at night.,,,sacar la basura,,
barrer el suelo,to sweep the floor,ES,home_local_area,chores,verb_phrase,KS3,Barremos el suelo de la cocina.,We sweep the kitchen floor.,,,barrer el suelo,,
tender la ropa,to hang out the laundry,ES,home_local_area,chores,verb_phrase,KS3,Tiendo la ropa en el jardín.,I hang out the laundry in the garden.,,,tender la ropa,,
doblar la ropa,to fold the clothes,ES,home_local_area,chores,verb_phrase,KS3,Ayúdame a doblar la ropa.,Help me fold the clothes.,,,doblar la ropa,,
dar de comer al perro,to feed the dog,ES,home_local_area,chores,verb_phrase,KS3,Doy de comer al perro dos veces al día.,I feed the dog twice a day.,,,dar de comer al perro,,
quitar la mesa,to clear the table,ES,home_local_area,chores,verb_phrase,KS3,"Después de comer, quito la mesa.","After eating, I clear the table.",,,quitar la mesa,,
ayudar en casa,to help at home,ES,home_local_area,chores,verb_phrase,KS3,Siempre ayudo en casa.,I always help at home.,,,ayudar en casa,,
laver la voiture,to wash the car,FR,home_local_area,chores,verb_phrase,KS3,Je lave la voiture le samedi.,I wash the car on Saturdays.,,,laver la voiture,,
faire du baby-sitting,to babysit,FR,home_local_area,chores,verb_phrase,KS3,J'aime faire du baby-sitting pour mes cousins.,I like to babysit my cousins.,,,faire du baby-sitting,,
nettoyer la maison,to clean the house,FR,home_local_area,chores,verb_phrase,KS3,J'aide à nettoyer la maison.,I help clean the house.,,,nettoyer la maison,,
promener le chien,to walk the dog,FR,home_local_area,chores,verb_phrase,KS3,Je promène le chien chaque matin.,I walk the dog every morning.,,,promener le chien,,
ne rien faire,to do nothing,FR,home_local_area,chores,verb_phrase,KS3,"Parfois, je ne fais rien.",Sometimes I do nothing.,,,ne rien faire,,
passer l'aspirateur,to vacuum,FR,home_local_area,chores,verb_phrase,KS3,Je passe l'aspirateur une fois par semaine.,I vacuum once a week.,,,passer l'aspirateur,,
mettre la table,to set the table,FR,home_local_area,chores,verb_phrase,KS3,Je mets toujours la table pour le dîner.,I always set the table for dinner.,,,mettre la table,,
repasser les vêtements,to iron the clothes,FR,home_local_area,chores,verb_phrase,KS3,Mon père repasse les vêtements.,My father irons the clothes.,,,repasser les vêtements,,
distribuer les journaux,to deliver newspapers,FR,home_local_area,chores,verb_phrase,KS3,Je distribue les journaux le dimanche.,I deliver newspapers on Sundays.,,,distribuer les journaux,,
faire la vaisselle,to wash the dishes,FR,home_local_area,chores,verb_phrase,KS3,"Après manger, je fais la vaisselle.","After eating, I wash the dishes.",,,faire la vaisselle,,
faire le lit,to make the bed,FR,home_local_area,chores,verb_phrase,KS3,Je fais mon lit tous les jours.,I make my bed every day.,,,faire le lit,,
sortir la poubelle,to take out the trash,FR,home_local_area,chores,verb_phrase,KS3,Je sors la poubelle le soir.,I take out the trash at night.,,,sortir la poubelle,,
balayer le sol,to sweep the floor,FR,home_local_area,chores,verb_phrase,KS3,Nous balayons le sol de la cuisine.,We sweep the kitchen floor.,,,balayer le sol,,
étendre le linge,to hang out the laundry,FR,home_local_area,chores,verb_phrase,KS3,J'étends le linge dans le jardin.,I hang out the laundry in the garden.,,,étendre le linge,,
plier le linge,to fold the clothes,FR,home_local_area,chores,verb_phrase,KS3,Aide-moi à plier le linge.,Help me fold the clothes.,,,plier le linge,,
donner à manger au chien,to feed the dog,FR,home_local_area,chores,verb_phrase,KS3,Je donne à manger au chien deux fois par jour.,I feed the dog twice a day.,,,donner à manger au chien,,
débarrasser la table,to clear the table,FR,home_local_area,chores,verb_phrase,KS3,"Après manger, je débarrasse la table.","After eating, I clear the table.",,,débarrasser la table,,
aider à la maison,to help at home,FR,home_local_area,chores,verb_phrase,KS3,J'aide toujours à la maison.,I always help at home.,,,aider à la maison,,
das Auto waschen,to wash the car,DE,home_local_area,chores,verb_phrase,KS3,Ich wasche das Auto samstags.,I wash the car on Saturdays.,,,das Auto waschen,,
babysitten,to babysit,DE,home_local_area,chores,verb,KS3,Ich babysitte gern meine Cousins.,I like to babysit my cousins.,,,babysitten,,
das Haus putzen,to clean the house,DE,home_local_area,chores,verb_phrase,KS3,"Ich helfe, das Haus zu putzen.",I help clean the house.,,,das Haus putzen,,
den Hund ausführen,to walk the dog,DE,home_local_area,chores,verb_phrase,KS3,Ich führe den Hund jeden Morgen aus.,I walk the dog every morning.,,,den Hund ausführen,,
nichts tun,to do nothing,DE,home_local_area,chores,verb_phrase,KS3,Manchmal tue ich nichts.,Sometimes I do nothing.,,,nichts tun,,
staubsaugen,to vacuum,DE,home_local_area,chores,verb,KS3,Ich staubsauge einmal pro Woche.,I vacuum once a week.,,,staubsaugen,,
den Tisch decken,to set the table,DE,home_local_area,chores,verb_phrase,KS3,Ich decke immer den Tisch zum Abendessen.,I always set the table for dinner.,,,den Tisch decken,,
die Kleidung bügeln,to iron the clothes,DE,home_local_area,chores,verb_phrase,KS3,Mein Vater bügelt die Kleidung.,My father irons the clothes.,,,die Kleidung bügeln,,
Zeitungen austragen,to deliver newspapers,DE,home_local_area,chores,verb_phrase,KS3,Ich trage sonntags Zeitungen aus.,I deliver newspapers on Sundays.,,,Zeitungen austragen,,
Geschirr spülen,to wash the dishes,DE,home_local_area,chores,verb_phrase,KS3,Nach dem Essen spüle ich das Geschirr.,"After eating, I wash the dishes.",,,Geschirr spülen,,
das Bett machen,to make the bed,DE,home_local_area,chores,verb_phrase,KS3,Ich mache mein Bett jeden Tag.,I make my bed every day.,,,das Bett machen,,
den Müll rausbringen,to take out the trash,DE,home_local_area,chores,verb_phrase,KS3,Ich bringe den Müll abends raus.,I take out the trash in the evening.,,,den Müll rausbringen,,
den Boden fegen,to sweep the floor,DE,home_local_area,chores,verb_phrase,KS3,Wir fegen den Küchenboden.,We sweep the kitchen floor.,,,den Boden fegen,,
die Wäsche aufhängen,to hang out the laundry,DE,home_local_area,chores,verb_phrase,KS3,Ich hänge die Wäsche im Garten auf.,I hang out the laundry in the garden.,,,die Wäsche aufhängen,,
die Wäsche zusammenlegen,to fold the clothes,DE,home_local_area,chores,verb_phrase,KS3,"Hilf mir, die Wäsche zusammenzulegen.",Help me fold the clothes.,,,die Wäsche zusammenlegen,,
den Hund füttern,to feed the dog,DE,home_local_area,chores,verb_phrase,KS3,Ich füttere den Hund zweimal täglich.,I feed the dog twice a day.,,,den Hund füttern,,
den Tisch abräumen,to clear the table,DE,home_local_area,chores,verb_phrase,KS3,Nach dem Essen räume ich den Tisch ab.,"After eating, I clear the table.",,,den Tisch abräumen,,
im Haushalt helfen,to help at home,DE,home_local_area,chores,verb_phrase,KS3,Ich helfe immer im Haushalt.,I always help at home.,,,im Haushalt helfen,,
el campo,countryside,ES,home_local_area,places_in_town,noun,KS3,Me gusta pasear por el campo.,I like to walk in the countryside.,m,el,el campo,,
el barrio,neighbourhood,ES,home_local_area,places_in_town,noun,KS3,Vivo en un barrio tranquilo.,I live in a quiet neighbourhood.,m,el,el barrio,,
el restaurante,restaurant,ES,home_local_area,places_in_town,noun,KS3,Comemos en un restaurante nuevo.,We eat at a new restaurant.,m,el,el restaurante,,
el cine,cinema,ES,home_local_area,places_in_town,noun,KS3,Vamos al cine los viernes.,We go to the cinema on Fridays.,m,el,el cine,,
la ciudad,city,ES,home_local_area,places_in_town,noun,KS3,Mi ciudad es grande.,My city is big.,f,la,la ciudad,,
el museo,museum,ES,home_local_area,places_in_town,noun,KS3,El museo de arte está en el centro.,The art museum is in the center.,m,el,el museo,,
el parque,park,ES,home_local_area,places_in_town,noun,KS3,Jugamos en el parque cada tarde.,We play in the park every afternoon.,m,el,el parque,,
el pueblo,town / village,ES,home_local_area,places_in_town,noun,KS3,Mi abuela vive en un pueblo pequeño.,My grandmother lives in a small town.,m,el,el pueblo,,
la iglesia,church,ES,home_local_area,places_in_town,noun,KS3,La iglesia tiene una torre alta.,The church has a tall tower.,f,la,la iglesia,,
la estación de tren,train station,ES,home_local_area,places_in_town,noun,KS3,La estación de tren está lejos.,The train station is far away.,f,la,la estación de tren,,
la carnicería,butcher shop,ES,home_local_area,places_in_town,noun,KS3,Compro carne en la carnicería.,I buy meat at the butcher shop.,f,la,la carnicería,,
el supermercado,supermarket,ES,home_local_area,places_in_town,noun,KS3,Voy al supermercado a comprar comida.,I go to the supermarket to buy food.,m,el,el supermercado,,
la farmacia,pharmacy,ES,home_local_area,places_in_town,noun,KS3,La farmacia abre hasta tarde.,The pharmacy stays open late.,f,la,la farmacia,,
la panadería,bakery,ES,home_local_area,places_in_town,noun,KS3,Compro pan en la panadería.,I buy bread at the bakery.,f,la,la panadería,,
la peluquería,hairdresser's,ES,home_local_area,places_in_town,noun,KS3,Necesito ir a la peluquería.,I need to go to the hairdresser's.,f,la,la peluquería,,
la oficina de correos,post office,ES,home_local_area,places_in_town,noun,KS3,Envío una carta desde la oficina de correos.,I send a letter from the post office.,f,la,la oficina de correos,,
el banco,bank,ES,home_local_area,places_in_town,noun,KS3,Necesito ir al banco.,I need to go to the bank.,m,el,el banco,,
el hospital,hospital,ES,home_local_area,places_in_town,noun,KS3,El hospital está cerca de aquí.,The hospital is near here.,m,el,el hospital,,
la parada de autobús,bus stop,ES,home_local_area,places_in_town,noun,KS3,Espero el autobús en la parada.,I wait for the bus at the stop.,f,la,la parada de autobús,,
