language,part_of_speech,word,translation,word_type,gender,article,display_word,example_sentence,example_translation,exam_board_code,theme_name,unit_name,tier,is_required,curriculum_level
es,adj,profundo,"deep, profound",,,,profundo,El lago es muy profundo aquí.,The lake is very deep here.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,adj,puro,"pure, clean",,,,puro,El agua es pura y limpia.,The water is pure and clean.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,adj,químico,chemical,,,,químico,No me gusta usar productos químicos.,I don't like to use chemical products.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,adj,situado,"situated, located",,,,situado,El hotel está situado en el centro.,The hotel is located downtown.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,adv,abajo,"down, below, downstairs",,,,abajo,El gato está abajo de la mesa.,The cat is under the table.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,adv,arriba,"upstairs, above",,,,arriba,Las estrellas brillan arriba en el cielo.,The stars shine above in the sky.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,adv,fuera,"outside, out",,,,fuera,Los niños juegan fuera de la casa.,The children play outside the house.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la altura,"height, altitude",,,la,la altura,La altura de la montaña es muy alta.,The height of the mountain is very tall.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la arena,sand,,,la,la arena,La arena en la playa es suave.,The sand on the beach is soft.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la autoridad,authority,,,la,la autoridad,La autoridad del policía es importante.,The authority of the police officer is important.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la calefacción,heating,,,la,la calefacción,La calefacción funciona bien en invierno.,The heating works well in winter.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la campaña,campaign,,,la,la campaña,La campaña ambiental fue exitosa.,The environmental campaign was successful.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la cantidad,"quantity, amount",,,la,la cantidad,La cantidad de agua es suficiente.,The amount of water is enough.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la clave,"key, crucial (thing)",,,la,la clave,La clave del éxito es la perseverancia.,The key to success is perseverance.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la cola,"queue, tail",,,la,la cola,Hice una cola para comprar entradas.,I waited in line to buy tickets.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la construcción,"construction, building",,,la,la construcción,La construcción del puente termina pronto.,The construction of the bridge finishes soon.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la culpa,"blame, fault",,,la,la culpa,No es mi culpa que llueva.,It's not my fault that it rains.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la distancia,distance,,,la,la distancia,La distancia entre las ciudades es grande.,The distance between the cities is large.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la frontera,"border, frontier",,,la,la frontera,Cruzar la frontera fue difícil.,Crossing the border was difficult.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la fuente,"source, fountain",,,la,la fuente,La fuente del río es muy antigua.,The source of the river is very old.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la igualdad,equality,,,la,la igualdad,La igualdad es importante en la escuela.,Equality is important in school.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la investigación,"investigation, research",,,la,la investigación,La investigación ayuda a aprender más.,Research helps us learn more.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la ley,"law, rule",,,la,la ley,La ley protege a los ciudadanos.,The law protects citizens.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la libertad,freedom,,,la,la libertad,La libertad es fundamental en una democracia.,Freedom is fundamental in a democracy.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la madera,wood,,,la,la madera,La mesa está hecha de madera.,The table is made of wood.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la manifestación,protest,,,la,la manifestación,La manifestación fue pacífica.,The protest was peaceful.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la muerte,death,,,la,la muerte,La muerte es parte de la vida.,Death is part of life.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la nación,nation,,,la,la nación,La nación celebra su independencia.,The nation celebrates its independence.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la nube,cloud,,,la,la nube,La nube cubre el cielo.,The cloud covers the sky.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la paz,peace,,,la,la paz,Queremos paz en el mundo.,We want peace in the world.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la piedra,"stone, rock",,,la,la piedra,La piedra es muy pesada.,The stone is very heavy.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la pintura,"painting, paint",,,la,la pintura,La pintura en la pared es bonita.,The painting on the wall is beautiful.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la población,population,,,la,la población,La población de la ciudad crece.,The city's population is growing.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la pobreza,poverty,,,la,la pobreza,La pobreza afecta a muchos países.,Poverty affects many countries.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la política,"politics, policy",,,la,la política,La política influye en nuestras vidas.,Politics influence our lives.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la preocupación,"worry, concern",,,la,la preocupación,Mi madre tiene preocupación por mí.,My mother is worried about me.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la protección,protection,,,la,la protección,La protección del medio ambiente es esencial.,Environmental protection is essential.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la riqueza,"wealth, riches",,,la,la riqueza,La riqueza no trae la felicidad.,Wealth does not bring happiness.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la sección,"section, department (in store)",,,la,la sección,Voy a la sección de libros.,I go to the book section.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la seguridad,"security, safety",,,la,la seguridad,La seguridad en la calle es importante.,Safety on the street is important.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la selección,"choice, selection, national sports team",,,la,la selección,La selección de jugadores fue difícil.,The selection of players was difficult.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la señal,"sign, signal",,,la,la señal,La señal de teléfono no funciona.,The phone signal doesn't work.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la solución,"solution, answer",,,la,la solución,Encontramos una solución rápida.,We found a quick solution.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la sombra,"shade, shadow",,,la,la sombra,Busca sombra en el árbol.,Look for shade under the tree.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la torre,tower,,,la,la torre,La torre es muy alta.,The tower is very tall.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la velocidad,"speed, velocity",,,la,la velocidad,La velocidad del coche es rápida.,The car's speed is fast.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la venta,sale,,,la,la venta,La venta empieza mañana.,The sale starts tomorrow.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (f),la visita,"visit, visitor",,,la,la visita,La visita fue muy agradable.,The visit was very pleasant.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (fpl),obras,"roadworks, building works",,,,obras,Las obras en la calle terminan pronto.,The roadworks will finish soon.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el alrededores,"surrounding area, vicinity",,,el,el alrededores,Los alrededores son muy tranquilos.,The surroundings are very peaceful.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el ascensor,"lift, elevator",,,el,el ascensor,El ascensor no funciona hoy.,The elevator is not working today.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el camino,"way, route, path",,,el,el camino,El camino es largo pero bonito.,The path is long but beautiful.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el ciudadano,"citizen, member of the public",,,el,el ciudadano,El ciudadano vota en las elecciones.,The citizen votes in elections.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el comercio,"commerce, trade, business",,,el,el comercio,El comercio crece cada año.,Trade grows every year.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el costo,"price, cost",,,el,el costo,El costo del libro es alto.,The cost of the book is high.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el cultivo,crop,,,el,el cultivo,El cultivo de maíz es importante.,Corn cultivation is important.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el dato,"data, information, fact",,,el,el dato,El dato es muy importante para la investigación.,The data is very important for research.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el derecho,"right, law (subject of study)",,,el,el derecho,El derecho es un tema de estudio.,Law is a subject of study.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el desarrollo,development,,,el,el desarrollo,El desarrollo de la ciudad es rápido.,The city's development is rapid.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el desastre,disaster,,,el,el desastre,El desastre afectó a muchas personas.,The disaster affected many people.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el descuento,discount,,,el,el descuento,El descuento es del 20%.,The discount is 20%.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el entorno,"environment, surroundings",,,el,el entorno,El entorno es muy natural.,The environment is very natural.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el estado,"state, condition",,,el,el estado,El estado de la carretera es bueno.,The condition of the road is good.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el experto,expert,,,el,el experto,El experto da consejos útiles.,The expert gives useful advice.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el gas,gas,,,el,el gas,El gas es peligroso si no se usa bien.,Gas is dangerous if not used properly.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el gobierno,government,,,el,el gobierno,El gobierno decide nuevas leyes.,The government makes new laws.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el hogar,home,,,el,el hogar,El hogar es donde estamos felices.,Home is where we are happy.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el humo,"smoke, fumes",,,el,el humo,El humo de la fábrica es muy tóxico.,The factory's smoke is very toxic.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el impuesto,tax,,,el,el impuesto,El impuesto ayuda a mantener las calles limpias.,The tax helps keep the streets clean.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el incendio,fire,,,el,el incendio,El incendio arrasó el bosque rápidamente.,The fire swept through the forest quickly.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el lago,lake,,,el,el lago,Nos gusta nadar en el lago en verano.,We like swimming in the lake in summer.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el monte,"hill, hills, countryside",,,el,el monte,Subimos al monte para ver la vista.,We climbed the hill to see the view.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el nivel,level,,,el,el nivel,El nivel del agua ha subido mucho.,The water level has risen a lot.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el oro,gold,,,el,el oro,El oro es muy valioso en todo el mundo.,Gold is very valuable worldwide.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el planeta,planet,,,el,el planeta,Nuestro planeta necesita cuidado.,Our planet needs care.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el recurso,resource,,,el,el recurso,El agua es un recurso importante.,Water is an important resource.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el rincón,corner,,,el,el rincón,Encontré un rincón tranquilo para estudiar.,I found a quiet corner to study.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el siglo,century,,,el,el siglo,Este edificio es del siglo XIX.,This building is from the 19th century.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el silencio,silence,,,el,el silencio,El silencio en la biblioteca es importante.,Silence in the library is important.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el sistema,system,,,el,el sistema,El sistema de transporte es muy eficiente.,The transportation system is very efficient.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el sonido,sound,,,el,el sonido,El sonido de la música me relaja.,The sound of music relaxes me.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el suelo,"ground, floor",,,el,el suelo,El suelo está mojado por la lluvia.,The ground is wet from the rain.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m),el vidrio,glass,,,el,el vidrio,La ventana está hecha de vidrio.,The window is made of glass.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,abandonar,"(to) abandon, leave (a place) |abandoning, leaving (a place)",,,,abandonar,No debes abandonar tus sueños.,You shouldn't abandon your dreams.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,advertir,(to) warn | warning,,,,advertir,El cartel advierte sobre el peligro.,The sign warns about danger.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,amenazar,(to) threaten I threatening,,,,amenazar,No debes amenazar a los demás.,You shouldn't threaten others.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,caminar,(to) walk | walking,,,,caminar,Vamos a caminar por el parque.,Let's walk through the park.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,cobrar,"(to) charge (money), earn | charging (money), earning",,,,cobrar,Ellos cobran mucho por el servicio.,They charge a lot for the service.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,cometer,(to) commit (crime) I committing (crime),,,,cometer,No debes cometer errores.,You shouldn't commit mistakes.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,conservar,"(to) conserve, preserve | conserving, preserving",,,,conservar,Es importante conservar la naturaleza.,It's important to conserve nature.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,contribuir,(to) contribute | contributing,,,,contribuir,Todos deben contribuir al proyecto.,Everyone should contribute to the project.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,convertirse,"(to) become, transform | becoming, transforming",,,,convertirse,El niño quiere convertirse en doctor.,The boy wants to become a doctor.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,cortar,(to) cut (up) | cutting (up),,,,cortar,Voy a cortar el papel en partes.,I'm going to cut the paper into parts.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,crecer,"(to) grow, increase | growing, increasing",,,,crecer,Las plantas crecen en verano.,Plants grow in summer.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,cruzar,(to) cross | crossing,,,,cruzar,Debes cruzar la calle con cuidado.,You must cross the street carefully.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,desaparecer,(to) disappear | disappearing,,,,desaparecer,El sol desaparece en el horizonte.,The sun disappears on the horizon.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,desarrollar,(to) develop | developing,,,,desarrollar,Quiero desarrollar mis habilidades.,I want to develop my skills.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,devolver,"(to) return, give back I returning, giving back",,,,devolver,Voy a devolver el libro mañana.,I will return the book tomorrow.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,dirigir,"(to) direct, manage | directing, managing",,,,dirigir,Ella va a dirigir la empresa.,She will manage the company.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,elegir,"(to) choose, elect | choosing, electing",,,,elegir,Voy a elegir esa opción.,I am going to choose that option.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,emitir,"(to) emit, give off, broadcast | emitting, giving off, broadcasting",,,,emitir,La radio emite música en vivo.,The radio broadcasts live music.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,existir,(to) exist | existing,,,,existir,Dios existe para muchas personas.,God exists for many people.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,fabricar,"(to) manufacture, produce I manufacturing, producing",,,,fabricar,Ellos fabrican muebles de madera.,They manufacture wooden furniture.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,fundar,"(to) set up, establish | setting up, establishing",,,,fundar,Mi abuelo fundó la escuela.,My grandfather founded the school.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,huele (a),it smells (of),,,,huele (a),La comida huele muy bien.,The food smells very good.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,instalar,(to) install | installing,,,,instalar,Voy a instalar el software nuevo.,I will install the new software.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,investigar,"(to) investigate, research I investigating, researching",,,,investigar,Estoy investigando un tema interesante.,I am researching an interesting topic.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,luchar,"(to) fight, struggle | fighting, struggling",,,,luchar,Ellos luchan por sus derechos.,They fight for their rights.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,matar,(to) kill | killing,,,,matar,Es ilegal matar a un animal.,It's illegal to kill an animal.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,negar; negarse a,"(to) deny, refuse | denying, refusing; (to) refuse to | refusing to",,,,negar; negarse a,Negó todas las acusaciones.,He denied all accusations.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,promover,(to) promote I promoting,,,,promover,Vamos a promover el reciclaje.,We will promote recycling.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,quemar; quemarse,(to) burn I burning; (to) get sunburnt | getting sunburnt,,,,quemar; quemarse,No te quemes con el sol.,Don't get sunburned.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,sobrevivir,(to) survive I surviving,,,,sobrevivir,Ellos lograron sobrevivir a la tormenta.,They managed to survive the storm.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,sorprender,(to) surprise | surprising,,,,sorprender,Me sorprende tu idea.,Your idea surprises me.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,sufrir,(to) suffer | suffering,,,,sufrir,Muchas personas sufren por la pobreza.,Many people suffer from poverty.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,v,utilizar,(to) use | using,,,,utilizar,Voy a utilizar mi teléfono ahora.,I'm going to use my phone now.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,n (m/f),guía,"guide, guide book",,,,guía,La guía ayuda a los turistas.,The guide helps tourists.,AQA,Communication and the world around us,Environment and where people live,higher,,KS4
es,adj,apropiado,"appropriate, suitable",,,,apropiado,El contenido en redes sociales debe ser apropiado.,Content on social media should be appropriate.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,adj,desconocido,unknown,,,,desconocido,Un número desconocido llamó anoche.,An unknown number called last night.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,adj,digital,digital,,,,digital,Prefiero leer libros digitales en mi tableta.,I prefer reading digital books on my tablet.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,adj,vivo; en vivo,"alive, bright; live (eg performance, broadcast)",,,,vivo; en vivo,La película en vivo fue espectacular.,The live movie was spectacular.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (f),la contraseña,password,,,la,la contraseña,No olvides tu contraseña de correo.,Don't forget your email password.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (f),la generación,generation,,,la,la generación,Mi generación usa mucho las redes sociales.,My generation uses social media a lot.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (f),la influencia,influence,,,la,la influencia,La influencia de la televisión es grande.,The influence of television is large.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (f),la investigación,"investigation, research",,,la,la investigación,La investigación mostró nuevos resultados.,The research showed new results.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (f),la memoria,memory,,,la,la memoria,Perdí toda la memoria del teléfono.,I lost all the phone's memory.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (f),la prensa,press,,,la,la prensa,La prensa informa sobre eventos importantes.,The press reports on important events.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (f),la protección,protection,,,la,la protección,Usa protección al navegar en internet.,Use protection when browsing the internet.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (f),la radio,radio,,,la,la radio,Escucho la radio cada mañana.,I listen to the radio every morning.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (f),la seguridad,"security, safety",,,la,la seguridad,La seguridad en línea es importante.,Online security is important.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (f),la señal,"sign, signal",,,la,la señal,No tengo señal en esta zona.,I have no signal in this area.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (f),la telenovela,"soap (opera), TV serial",,,la,la telenovela,Mi hermana mira la telenovela cada noche.,My sister watches the soap every night.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (f),la tendencia,"tendency, trend",,,la,la tendencia,La tendencia actual es usar más tecnología.,The current trend is to use more technology.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (f),la velocidad,"speed, velocity",,,la,la velocidad,La velocidad de internet es rápida hoy.,The internet speed is fast today.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (f),la víctima,victim,,,la,la víctima,La víctima del cyberbullying pidió ayuda.,The victim of cyberbullying asked for help.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (m),el blog,blog,,,el,el blog,Escribo en mi blog cada semana.,I write on my blog every week.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (m),el canal,channel,,,el,el canal,Mira ese canal de televisión.,Watch that TV channel.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (m),el ciberacoso,cyberbullying,,,el,el ciberacoso,El ciberacoso puede ser muy dañino.,Cyberbullying can be very harmful.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (m),el comentario,"remark, comment",,,el,el comentario,Recibí un comentario en mi foto.,I received a comment on my photo.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (m),el contenido,"content, contents",,,el,el contenido,El contenido de la página es interesante.,The website content is interesting.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (m),el diálogo,"dialogue, conversation",,,el,el diálogo,El diálogo en la película fue emotivo.,The dialogue in the movie was emotional.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (m),el diario,"newspaper, diary, journal",,,el,el diario,Leo el diario cada mañana.,I read the newspaper every morning.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (m),el diseño,design,,,el,el diseño,El diseño de la página web es moderno.,The website design is modern.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (m),el dispositivo,"device, gadget",,,el,el dispositivo,Este dispositivo es muy útil.,This device is very useful.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (m),el documental,documentary,,,el,el documental,Vimos un documental sobre animales.,We watched a documentary about animals.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (m),el emoticón,emoji,,,el,el emoticón,Usa un emoticón en tu mensaje.,Use an emoji in your message.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (m),el experto,expert,,,el,el experto,El experto habló sobre tecnología.,The expert spoke about technology.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (m),el informe,report,,,el,el informe,Preparé un informe para clase.,I prepared a report for class.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (m),el portátil,laptop,,,el,el portátil,Trabajo con mi portátil en casa.,I work with my laptop at home.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (m),el retraso,delay,,,el,el retraso,El retraso en el vuelo fue largo.,The flight delay was long.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (m),el sistema,system,,,el,el sistema,El sistema operativo es actualizado.,The operating system is updated.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (m),el talento,talent,,,el,el talento,Tiene mucho talento para la música.,He has a lot of talent for music.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (m),el usuario,user,,,el,el usuario,El usuario debe aceptar las reglas.,The user must accept the rules.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,n (m),el volumen,volume,,,el,el volumen,"Sube el volumen, por favor.",Please turn up the volume.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,v,cargar,(to) charge (phone) I charging (phone),,,,cargar,Necesito cargar mi teléfono ahora.,I need to charge my phone now.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,v,charlar,(to) chat | chatting,,,,charlar,Nos gusta charlar en línea.,We like to chat online.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,v,colgar,"(to) hang (up), post (photo) I hanging (up), posting (photo)",,,,colgar,Voy a colgar la foto en Instagram.,I will post the photo on Instagram.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,v,comentar,(to) comment | commenting,,,,comentar,Puedes comentar en mi video.,You can comment on my video.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,v,conectar,"(to) connect, plug in I connecting, plugging in",,,,conectar,Voy a conectar mi portátil a Wi-Fi.,I'm going to connect my laptop to Wi-Fi.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,v,fabricar,"(to) manufacture, produce I manufacturing, producing",,,,fabricar,La fábrica fabrica teléfonos nuevos.,The factory manufactures new phones.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,v,navegar,"(to) surf, browse | surfing, browsing",,,,navegar,Me gusta navegar por internet.,I like to browse the internet.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,v,promover,(to) promote I promoting,,,,promover,Quieren promover la educación digital.,They want to promote digital education.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,v,publicar,"(to) publish, post (online) | publishing, posting (online)",,,,publicar,Voy a publicar un video ahora.,I am going to post a video now.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,v,sufrir,(to) suffer | suffering,,,,sufrir,No quiero sufrir por redes sociales.,I don't want to suffer because of social media.,AQA,Communication and the world around us,Media and technology,higher,,KS4
es,adj,acuático,"water, aquatic",,,,acuático,Me gustan los deportes acuáticos.,I like water sports.,AQA,Communication and the world around us,Travel and tourism,higher,,KS4
es,adj,hispanohablante,Spanish-speaking,,,,hispanohablante,Soy un hablante hispanohablante.,I am a Spanish-speaking person.,AQA,Communication and the world around us,Travel and tourism,higher,,KS4
es,adj,internacional,international,,,,internacional,Participamos en un evento internacional.,We participate in an international event.,AQA,Communication and the world around us,Travel and tourism,higher,,KS4
es,adj,latino,"Latin American, Latin",,,,latino,Ella disfruta de la música latinoamericana.,She enjoys Latin American music.,AQA,Communication and the world around us,Travel and tourism,higher,,KS4
es,adj,nacional,national,,,,nacional,Visité el monumento nacional en Madrid.,I visited the national monument in Madrid.,AQA,Communication and the world around us,Travel and tourism,higher,,KS4
es,adj,situado,"situated, located",,,,situado,El hotel está situado cerca de la playa.,The hotel is located near the beach.,AQA,Communication and the world around us,Travel and tourism,higher,,KS4
es,n (f),la arena,sand,,,la,la arena,Corremos por la arena de la playa.,We run on the beach sand.,AQA,Communication and the world around us,Travel and tourism,higher,,KS4
es,n (f),la aventura,adventure,,,la,la aventura,La aventura en las montañas fue emocionante.,The mountain adventure was exciting.,AQA,Communication and the world around us,Travel and tourism,higher,,KS4
