language,frequency_rank,translation,word,part_of_speech,gender,curriculum_level,exam_board_code,Theme,unit_name,tier,,
es,911.0,"visit, guest at home",la visita,n,(f),KS4,edexcel,,Friendship,both,,
es,920.0,magazine,la revista,n,(f),KS4,edexcel,,Friendship,both,,
es,929.0,blog,el blog,n,(m),KS4,edexcel,,Friendship,both,,
es,939.0,(to) enjoy | enjoying,disfrutar ,v,,KS4,edexcel,,Friendship,both,,
es,978.0,(to) smile | smiling,sonreír,v,,KS4,edexcel,,Friendship,both,,
es,990.0,influence,la influencia,n,(f),KS4,edexcel,,Friendship,both,,
es,1098.0,respect,el respeto,n,(m),KS4,edexcel,,Friendship,both,,
es,1107.0,(to) protect | protecting,proteger,v,,KS4,edexcel,,Friendship,both,,
es,1129.0,girl,la chica,n,(f),KS4,edexcel,,Friendship,both,,
es,1191.0,(to) respect | respecting,respetar,v,,KS4,edexcel,,Friendship,both,,
es,1196.0,"pleasure, amusement",el placer,n,(m),KS4,edexcel,,Friendship,both,,
es,1202.0,(to) love | loving,encantar,v,,KS4,edexcel,,Friendship,both,,
es,1260.0,"close, closely-related, nearby",cercano,adj,,KS4,edexcel,,Friendship,both,,
es,1310.0,"(to) argue, discuss | arguing, discussing",discutir,v,,KS4,edexcel,,Friendship,both,,
es,1311.0,band,la banda,n,(f),KS4,edexcel,,Friendship,both,,
es,1322.0,boyfriend,el novio,n,(m),KS4,edexcel,,Friendship,both,,
es,1323.0,(to) dance | dancing,bailar,v,,KS4,edexcel,,Friendship,both,,
es,1406.0,fashion,la moda,n,(f),KS4,edexcel,,Friendship,both,,
es,1406.0,fashionable,a la moda,n,(f),KS4,edexcel,,Friendship,both,,
es,1550.0,personality,la personalidad,n,(f),KS4,edexcel,,Friendship,both,,
es,1574.0,adult,"adulto, adulta",n,(mf),KS4,edexcel,,Friendship,both,,
es,1580.0,kiss,el beso,n,(m),KS4,edexcel,,Friendship,both,,
es,1592.0,"post, publication",la publicación,n,(f),KS4,edexcel,,Friendship,both,,
es,1662.0,"shopping, purchase",la compra(s),n,(f),KS4,edexcel,,Friendship,both,,
es,1677.0,old person,"anciano, anciana",n,(mf),KS4,edexcel,,Friendship,both,,
es,1692.0,"single (room, bed), individual",individual,adj,,KS4,edexcel,,Friendship,both,,
es,1697.0,dress,el vestido,n,(m),KS4,edexcel,,Friendship,both,,
es,1728.0,cat,el gato,n,(m),KS4,edexcel,,Friendship,both,,
es,1747.0,"presentation, introduction",la presentación,n,(f),KS4,edexcel,,Friendship,both,,
es,1806.0,identity,la identidad,n,(f),KS4,edexcel,,Friendship,both,,
es,1883.0,(to) smoke | smoking,fumar,v,,KS4,edexcel,,Friendship,both,,
es,1944.0,"affection, love",el cariño,n,(m),KS4,edexcel,,Friendship,both,,
es,1949.0,"happy, content",contento,adj,,KS4,edexcel,,Friendship,both,,
es,1986.0,"present, gift",el regalo,n,(m),KS4,edexcel,,Friendship,both,,
es,1996.0,girlfriend,la novia,n,(f),KS4,edexcel,,Friendship,both,,
es,2040.0,dance,el baile,n,(m),KS4,edexcel,,Friendship,both,,
es,2055.0,sports,deportivo,adj,,KS4,edexcel,,Friendship,both,,
es,2081.0,"lively, cheerful, happy",alegre,adj,,KS4,edexcel,,Friendship,both,,
es,2114.0,(to) enjoy oneself | enjoying oneself,divertirse,v,,KS4,edexcel,,Friendship,both,,
es,2542.0,dinner,la cena,n,(f),KS4,edexcel,,Friendship,both,,
es,2641.0,holidays,el vacaciones,n,(m),KS4,edexcel,,Friendship,both,,
es,2824.0,tourist,turista,n,(mf),KS4,edexcel,,Friendship,both,,
es,2861.0,"blonde, light (skin)",rubio,adj,,KS4,edexcel,,Friendship,both,,
es,3074.0,(to) cook | cooking,cocinar,v,,KS4,edexcel,,Friendship,both,,
es,3349.0,"nice, kind, friendly",simpático,adj,,KS4,edexcel,,Friendship,both,,
es,3372.0,birthday,el cumpleaños,n,(m),KS4,edexcel,,Friendship,both,,
es,4604.0,swimming pool,la piscina,n,(f),KS4,edexcel,,Friendship,both,,
es,4856.0,tennis,el tenis,n,(m),KS4,edexcel,,Friendship,both,,
es,,(to) chat (online) | chatting (online),chatear,v,,KS4,edexcel,,Friendship,both,,
es,,(to) recycle | recycling,reciclar,v,,KS4,edexcel,,Friendship,both,,
es,,mobile phone,el móvil,n,(m),KS4,edexcel,,Friendship,both,,
es,,"leisure activity, hobby",el pasatiempo,n,(m),KS4,edexcel,,Friendship,both,,
es,,chestnut brown,castaño,adj,,KS4,edexcel,,Friendship,both,,
es,,"red-haired, ginger",pelirrojo,adj,,KS4,edexcel,,Friendship,both,,
es,85.0,life,la vida,n,(f),KS4,edexcel,,Relationships,both,,
es,97.0,man,el hombre,n,(m),KS4,edexcel,,Relationships,both,,
es,101.0,"(to) wear, carry, take, lead | wearing, carrying, taking, leading; (to) get on (with) | getting on (with)",llevar; llevarse (con),v,,KS4,edexcel,,Relationships,both,,
es,102.0,"(to) find |finding; (to) run into, be located, feel | running into, being located, feeling",encontrar; encontrarse,v,,KS4,edexcel,,Relationships,both,,
es,108.0,person,la persona,n,(f),KS4,edexcel,,Relationships,both,,
es,120.0,woman / wife,la mujer,n,(f),KS4,edexcel,,Relationships,both,,
es,128.0,"(to) know, meet, experience | knowing, meeting, experiencing",conocer,v,,KS4,edexcel,,Relationships,both,,
es,137.0,people,la gente,n,(f),KS4,edexcel,,Relationships,both,,
es,140.0,"son, child",el hijo,n,(m),KS4,edexcel,,Relationships,both,,
es,142.0,(to) live | living,vivir,v,,KS4,edexcel,,Relationships,both,,
es,154.0,"adults, the elderly",los los mayores,n,(mpl),KS4,edexcel,,Relationships,both,,
es,162.0,"father, parent",el padre,n,(m),KS4,edexcel,,Relationships,both,,
es,169.0,eyes,los ojos,n,(mpl),KS4,edexcel,,Relationships,both,,
es,173.0,"child, (young) boy",el niño,n,(m),KS4,edexcel,,Relationships,both,,
es,200.0,"group, band",el grupo,n,(m),KS4,edexcel,,Relationships,both,,
es,210.0,friend,"amigo, amiga",n,(mf),KS4,edexcel,,Relationships,both,,
es,215.0,name,el nombre,n,(m),KS4,edexcel,,Relationships,both,,
es,220.0,social,social,adj,,KS4,edexcel,,Relationships,both,,
es,226.0,mother,la madre,n,(f),KS4,edexcel,,Relationships,both,,
es,231.0,"tall, high, loud",alto,adj,,KS4,edexcel,,Relationships,both,,
es,233.0,family,la familia,n,(f),KS4,edexcel,,Relationships,both,,
es,244.0,"village, town",el pueblo,n,(m),KS4,edexcel,,Relationships,both,,
es,252.0,voice,la voz,n,(f),KS4,edexcel,,Relationships,both,,
es,272.0,"relationship, relation",la relación,n,(f),KS4,edexcel,,Relationships,both,,
es,281.0,(to) listen | listening,escuchar,v,,KS4,edexcel,,Relationships,both,,
es,283.0,love,el amor,n,(m),KS4,edexcel,,Relationships,both,,
es,322.0,animal,el animal,n,(m),KS4,edexcel,,Relationships,both,,
es,327.0,"(to) play (instrument), touch | playing, touching",tocar,v,,KS4,edexcel,,Relationships,both,,
es,328.0,(to) help | helping,ayudar,v,,KS4,edexcel,,Relationships,both,,
es,333.0,"brother, sibling",el hermano,n,(m),KS4,edexcel,,Relationships,both,,
es,337.0,face,la cara,n,(f),KS4,edexcel,,Relationships,both,,
es,373.0,"team, equipment",el equipo,n,(m),KS4,edexcel,,Relationships,both,,
es,423.0,young person,joven (mf),n,(mf),KS4,edexcel,,Relationships,both,,
es,423.0,young,joven,adj,,KS4,edexcel,,Relationships,both,,
es,468.0,"younger,  youngest",menor,adj,,KS4,edexcel,,Relationships,both,,
es,540.0,member,el miembro,n,(m),KS4,edexcel,,Relationships,both,,
es,579.0,(to) share | sharing,compartir,v,,KS4,edexcel,,Relationships,both,,
es,619.0,communication,la comunicación,n,(f),KS4,edexcel,,Relationships,both,,
es,622.0,"child, (young) girl",la niña,n,(f),KS4,edexcel,,Relationships,both,,
es,630.0,(to) cry | crying,llorar,v,,KS4,edexcel,,Relationships,both,,
es,638.0,"company, firm",la compañía,n,(f),KS4,edexcel,,Relationships,both,,
es,649.0,responsible,responsable,adj,,KS4,edexcel,,Relationships,both,,
es,650.0,(to) get married | getting married,casarse,v,,KS4,edexcel,,Relationships,both,,
es,653.0,"room, bedroom, quarter",el cuarto,n,(m),KS4,edexcel,,Relationships,both,,
es,675.0,mum,la mamá,n,(f),KS4,edexcel,,Relationships,both,,
es,683.0,(to) laugh | laughing,reír(se),v,,KS4,edexcel,,Relationships,both,,
es,700.0,(to) love | loving,amar,v,,KS4,edexcel,,Relationships,both,,
es,705.0,model,modelo (mf),n,(mf),KS4,edexcel,,Relationships,both,,
es,727.0,boy,el chico,n,(m),KS4,edexcel,,Relationships,both,,
es,769.0,"daughter, child",la hija,n,(f),KS4,edexcel,,Relationships,both,,
es,783.0,grandmother,la abuela,n,(f),KS4,edexcel,,Relationships,both,,
es,786.0,"(to) gather, meet | gathering, meeting",reunirse,v,,KS4,edexcel,,Relationships,both,,
es,792.0,(to) visit | visiting,visitar,v,,KS4,edexcel,,Relationships,both,,
es,796.0,"party, bank holiday, festival",la fiesta,n,(f),KS4,edexcel,,Relationships,both,,
es,808.0,neighbour,"vecino, vecina",n,(mf),KS4,edexcel,,Relationships,both,,
es,821.0,religious,religioso,adj,,KS4,edexcel,,Relationships,both,,
es,847.0,message,el mensaje,n,(m),KS4,edexcel,,Relationships,both,,
es,865.0,dad,el papá,n,(m),KS4,edexcel,,Relationships,both,,
es,866.0,(tele)phone,el teléfono,n,(m),KS4,edexcel,,Relationships,both,,
es,882.0,photo,la foto,n,(f),KS4,edexcel,,Relationships,both,,
es,886.0,(to) celebrate | celebrating,celebrar,v,,KS4,edexcel,,Relationships,both,,
es,888.0,dog,el perro,n,(m),KS4,edexcel,,Relationships,both,,
es,908.0,happy,feliz,adj,,KS4,edexcel,,Relationships,both,,
es,920.0,magazine,la revista,n,(f),KS4,edexcel,,Relationships,both,,
es,924.0,hardworking,trabajador,adj,,KS4,edexcel,,Relationships,both,,
es,924.0,hardworking,trabajadora,adj,,KS4,edexcel,,Relationships,both,,
es,939.0,(to) enjoy | enjoying,disfrutar ,v,,KS4,edexcel,,Relationships,both,,
es,965.0,marido (m),el marido,n,(m),KS4,edexcel,,Relationships,both,,
es,978.0,(to) smile | smiling,sonreír,v,,KS4,edexcel,,Relationships,both,,
es,988.0,uncle,el tío,n,(m),KS4,edexcel,,Relationships,both,,
es,990.0,influence,la influencia,n,(f),KS4,edexcel,,Relationships,both,,
es,1061.0,tradition,la tradición,n,(f),KS4,edexcel,,Relationships,both,,
es,1063.0,(to) fight | fighting,luchar,v,,KS4,edexcel,,Relationships,both,,
es,1098.0,respect,el respeto,n,(m),KS4,edexcel,,Relationships,both,,
es,1107.0,(to) protect | protecting,proteger,v,,KS4,edexcel,,Relationships,both,,
es,1161.0,union,la unión,n,(f),KS4,edexcel,,Relationships,both,,
es,1191.0,(to) respect | respecting,respetar,v,,KS4,edexcel,,Relationships,both,,
es,1196.0,"pleasure, amusement",el placer,n,(m),KS4,edexcel,,Relationships,both,,
es,1202.0,(to) love | loving,encantar,v,,KS4,edexcel,,Relationships,both,,
es,1205.0,aunt,la tía,n,(f),KS4,edexcel,,Relationships,both,,
es,1260.0,"close, closely-related, nearby",cercano,adj,,KS4,edexcel,,Relationships,both,,
es,1310.0,"(to) argue, discuss | arguing, discussing",discutir,v,,KS4,edexcel,,Relationships,both,,
es,1322.0,boyfriend,el novio,n,(m),KS4,edexcel,,Relationships,both,,
es,1323.0,(to) dance | dancing,bailar,v,,KS4,edexcel,,Relationships,both,,
es,1338.0,religion,la religión,n,(f),KS4,edexcel,,Relationships,both,,
es,1406.0,fashion; fashionable,La moda,n,(f),KS4,edexcel,,Relationships,both,,
es,1406.0,fashion; fashionable,A la moda,n,(f),KS4,edexcel,,Relationships,both,,
es,1451.0,cousin,"el primo, la prima",n,(f),KS4,edexcel,,Relationships,both,,
es,1498.0,passion,la pasión,n,(f),KS4,edexcel,,Relationships,both,,
es,1550.0,personality,la personalidad,n,(f),KS4,edexcel,,Relationships,both,,
es,1574.0,adult,"adulto, adulta",n,(mf),KS4,edexcel,,Relationships,both,,
es,1580.0,kiss,el beso,n,(m),KS4,edexcel,,Relationships,both,,
es,1600.0,drug,la droga,n,(f),KS4,edexcel,,Relationships,both,,
es,1641.0,"(to) forbid, ban | forbidding, banning",prohibir,v,,KS4,edexcel,,Relationships,both,,
es,1677.0,old person,"anciano, anciana",n,(mf),KS4,edexcel,,Relationships,both,,
es,1690.0,independence,la independencia,n,(f),KS4,edexcel,,Relationships,both,,
es,1692.0,"single (room, bed), individual",individual,adj,,KS4,edexcel,,Relationships,both,,
es,1697.0,dress,el vestido,n,(m),KS4,edexcel,,Relationships,both,,
es,1747.0,"presentation, introduction",la presentación,n,(f),KS4,edexcel,,Relationships,both,,
es,1773.0,adventure,la aventura,n,(f),KS4,edexcel,,Relationships,both,,
es,1806.0,identity,la identidad,n,(f),KS4,edexcel,,Relationships,both,,
es,1883.0,(to) smoke | smoking,fumar,v,,KS4,edexcel,,Relationships,both,,
es,1944.0,"affection, love",el cariño,n,(m),KS4,edexcel,,Relationships,both,,
es,1949.0,"happy, content",contento,adj,,KS4,edexcel,,Relationships,both,,
es,1986.0,"present, gift",el regalo,n,(m),KS4,edexcel,,Relationships,both,,
es,1996.0,girlfriend,la novia,n,(f),KS4,edexcel,,Relationships,both,,
es,2002.0,"appointment, date",la cita,n,(f),KS4,edexcel,,Relationships,both,,
es,2028.0,baby,bebé (mf),n,(mf),KS4,edexcel,,Relationships,both,,
es,2040.0,dance,el baile,n,(m),KS4,edexcel,,Relationships,both,,
es,2055.0,sports,deportivo,adj,,KS4,edexcel,,Relationships,both,,
es,2081.0,"lively, cheerful, happy",alegre,adj,,KS4,edexcel,,Relationships,both,,
es,2114.0,(to) enjoy oneself | enjoying oneself,divertirse,v,,KS4,edexcel,,Relationships,both,,
es,2861.0,"blonde, light (skin)",rubio,adj,,KS4,edexcel,,Relationships,both,,
es,3074.0,(to) cook | cooking,cocinar,v,,KS4,edexcel,,Relationships,both,,
es,3349.0,"nice, kind, friendly",simpático,adj,,KS4,edexcel,,Relationships,both,,
es,3372.0,birthday,el cumpleaños,n,(m),KS4,edexcel,,Relationships,both,,
es,3409.0,sister,la hermana,n,(f),KS4,edexcel,,Relationships,both,,
es,4728.0,rabbit,el conejo,n,(m),KS4,edexcel,,Relationships,both,,
es,4796.0,"grandfather, grandparent",el abuelo,n,(m),KS4,edexcel,,Relationships,both,,
es,,(to) chat (online) | chatting (online),chatear,v,,KS4,edexcel,,Relationships,both,,
es,,(to) recycle | recycling,reciclar,v,,KS4,edexcel,,Relationships,both,,
es,,mobile phone,el móvil,n,(m),KS4,edexcel,,Relationships,both,,
es,,chestnut brown,castaño,adj,,KS4,edexcel,,Relationships,both,,
es,,"red-haired, ginger",pelirrojo,adj,,KS4,edexcel,,Relationships,both,,
es,,step-,"-astro, -astra, -astros, -astras",suffix,,KS4,edexcel,,Relationships,both,,
es,85.0,life,la vida,n,(f),KS4,edexcel,,Equality,both,,
es,97.0,man,el hombre,n,(m),KS4,edexcel,,Equality,both,,
es,108.0,person,la persona,n,(f),KS4,edexcel,,Equality,both,,
es,120.0,woman / wife,la mujer,n,(f),KS4,edexcel,,Equality,both,,
es,123.0,world,el mundo,n,(m),KS4,edexcel,,Equality,both,,
es,126.0,"media, means",los medios,n,(mpl),KS4,edexcel,,Equality,both,,
es,147.0,"president, chairperson",el presidente,n,(m),KS4,edexcel,,Equality,both,,
es,147.0,"president, chairperson",la presidenta,n,(f),KS4,edexcel,,Equality,both,,
es,152.0,"work, job, school assignment",el trabajo,n,(m),KS4,edexcel,,Equality,both,,
es,154.0,"adults, the elderly",los los mayores,n,(mpl),KS4,edexcel,,Equality,both,,
es,162.0,"father, parent",el padre,n,(m),KS4,edexcel,,Equality,both,,
es,174.0,(to) work | working,trabajar,v,,KS4,edexcel,,Equality,both,,
es,232.0,body,el cuerpo,n,(m),KS4,edexcel,,Equality,both,,
es,240.0,"topic, theme",el tema,n,(m),KS4,edexcel,,Equality,both,,
es,263.0,"equal, same as",igual,adj,,KS4,edexcel,,Equality,both,,
es,266.0,right,el derecho,n,(m),KS4,edexcel,,Equality,both,,
es,310.0,"service, toilet",el servicio,n,(m),KS4,edexcel,,Equality,both,,
es,313.0,(to) serve | serving,servir,v,,KS4,edexcel,,Equality,both,,
es,315.0,"company, firm",la empresa,n,(f),KS4,edexcel,,Equality,both,,
es,328.0,(to) help | helping,ayudar,v,,KS4,edexcel,,Equality,both,,
es,353.0,society,la sociedad,n,(f),KS4,edexcel,,Equality,both,,
es,373.0,"team, equipment",el equipo,n,(m),KS4,edexcel,,Equality,both,,
es,398.0,"tasty, rich",rico,adj,,KS4,edexcel,,Equality,both,,
es,481.0,"career, university degree, race",la carrera,n,(f),KS4,edexcel,,Equality,both,,
es,487.0,market,el mercado,n,(m),KS4,edexcel,,Equality,both,,
es,490.0,education,la educación,n,(f),KS4,edexcel,,Equality,both,,
es,492.0,poor,pobre,adj,,KS4,edexcel,,Equality,both,,
es,579.0,(to) share | sharing,compartir,v,,KS4,edexcel,,Equality,both,,
es,638.0,"company, firm",la compañía,n,(f),KS4,edexcel,,Equality,both,,
es,649.0,responsible,responsable,adj,,KS4,edexcel,,Equality,both,,
es,708.0,success,el éxito,n,(m),KS4,edexcel,,Equality,both,,
es,726.0,"boss, manager",jefe (mf),n,(mf),KS4,edexcel,,Equality,both,,
es,726.0,"boss, manager",la jefa,n,(f),KS4,edexcel,,Equality,both,,
es,821.0,religious,religioso,adj,,KS4,edexcel,,Equality,both,,
es,1098.0,respect,el respeto,n,(m),KS4,edexcel,,Equality,both,,
es,1191.0,(to) respect | respecting,respetar,v,,KS4,edexcel,,Equality,both,,
es,1238.0,"gender, genre",el género,n,(m),KS4,edexcel,,Equality,both,,
es,1338.0,religion,la religión,n,(f),KS4,edexcel,,Equality,both,,
es,1574.0,adult,"adulto, adulta",n,(mf),KS4,edexcel,,Equality,both,,
es,1677.0,old person,"anciano, anciana",n,(mf),KS4,edexcel,,Equality,both,,
es,2002.0,"appointment, date",la cita,n,(f),KS4,edexcel,,Equality,both,,
es,2104.0,Internet,el Internet,n,(m),KS4,edexcel,,Equality,both,,
es,2147.0,"salary, wage",el salario,n,(m),KS4,edexcel,,Equality,both,,
es,2796.0,uniform,el uniforme,n,(m),KS4,edexcel,,Equality,both,,
es,2865.0,equality,la igualdad,n,(f),KS4,edexcel,,Equality,both,,
es,,disability; disabled,la discapacidad (f); con discapacidad,n,(f),KS4,edexcel,,Equality,both,,
es,,racism,el racismo,n,(m),KS4,edexcel,,Equality,both,,
es,,sexism,el sexismo,n,(m),KS4,edexcel,,Equality,both,,
es,,wheelchair,la silla de ruedas,n,(f),KS4,edexcel,,Equality,both,,
es,,bisexual,bisexual,adj,,KS4,edexcel,,Equality,both,,
es,,gay,gay,adj,,KS4,edexcel,,Equality,both,,
es,,"included, inclusive of",incluido,adj,,KS4,edexcel,,Equality,both,,
es,,lesbian,lesbiana,adj,,KS4,edexcel,,Equality,both,,
es,,non-binary,no binario,adj,,KS4,edexcel,,Equality,both,,
es,,straight,heterosexual,adj,,KS4,edexcel,,Equality,both,,
es,,transgender,transgénero,adj,,KS4,edexcel,,Equality,both,,
es,,online,en línea,adv,,KS4,edexcel,,Equality,both,,
es,85.0,life,la vida,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,119.0,"way, form, shape; fit, in shape",la forma (f); en forma,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,154.0,"adults, the elderly",los los mayores,n,(mpl),KS4,edexcel,,Physical wellbeing,both,,
es,169.0,eyes,los ojos,n,(mpl),KS4,edexcel,,Physical wellbeing,both,,
es,204.0,water,la agua,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,232.0,body,el cuerpo,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,265.0,head,la cabeza,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,310.0,"service, toilet",el servicio,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,343.0,(to) run | running,correr,v,,KS4,edexcel,,Physical wellbeing,both,,
es,344.0,activity,la actividad,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,347.0,(to) eat | eating,comer,v,,KS4,edexcel,,Physical wellbeing,both,,
es,356.0,(to) play | playing,jugar ,v,,KS4,edexcel,,Physical wellbeing,both,,
es,356.0,(I) play | (I) am playing,juego ,v,,KS4,edexcel,,Physical wellbeing,both,,
es,356.0,(you) play | (you) are playing,juegas ,v,,KS4,edexcel,,Physical wellbeing,both,,
es,356.0,"(she, he, it, one) plays | (she, he, it, one) is playing | (you (sing formal)) play | Play! (you (sing informal))","juega , ¡juega !",v,,KS4,edexcel,,Physical wellbeing,both,,
es,356.0,(they) play | (they) are playing,juegan ,v,,KS4,edexcel,,Physical wellbeing,both,,
es,365.0,"foot; on foot, walking; standing",el pie (m); a pie; de pie,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,373.0,"team, equipment",el equipo,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,403.0,"(to) sleep, fall asleep | sleeping, falling asleep",dormir; dormirse,v,,KS4,edexcel,,Physical wellbeing,both,,
es,409.0,game,el juego,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,465.0,mouth,la boca,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,467.0,(to) move | moving,mover(se),v,,KS4,edexcel,,Physical wellbeing,both,,
es,470.0,arm,el brazo,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,475.0,heart,el corazón,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,514.0,(to) walk | walking,caminar,v,,KS4,edexcel,,Physical wellbeing,both,,
es,538.0,"security, safety",la seguridad,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,613.0,health,la salud,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,644.0,doctor,"doctor (m), doctora",n,(mf),KS4,edexcel,,Physical wellbeing,both,,
es,702.0,physical,físico,adj,,KS4,edexcel,,Physical wellbeing,both,,
es,716.0,finger,el dedo,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,755.0,(to) cut (oneself) | cutting (oneself),cortar(se),v,,KS4,edexcel,,Physical wellbeing,both,,
es,776.0,leg,la pierna,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,873.0,hair,el pelo,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,877.0,risk,el riesgo,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,942.0,back,la espalda,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,1050.0,hospital,el hospital,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,1092.0,"ill, sick",enfermo,adj,,KS4,edexcel,,Physical wellbeing,both,,
es,1100.0,violence,la violencia,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,1103.0,dead,muerto,adj,,KS4,edexcel,,Physical wellbeing,both,,
es,1146.0,shoulder,el hombro,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,1154.0,"victim, casualty",víctima (mf),n,(mf),KS4,edexcel,,Physical wellbeing,both,,
es,1162.0,exercise,el ejercicio,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,1170.0,danger,el peligro,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,1278.0,active,activo,adj,,KS4,edexcel,,Physical wellbeing,both,,
es,1323.0,(to) dance | dancing,bailar,v,,KS4,edexcel,,Physical wellbeing,both,,
es,1365.0,tooth,el diente,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,1446.0,(to) ride | riding,montar,v,,KS4,edexcel,,Physical wellbeing,both,,
es,1471.0,football,el fútbol,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,1474.0,"medicine, medication",la medicina,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,1489.0,sport,el deporte,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,1570.0,nose,la nariz,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,1572.0,dangerous,peligroso,adj,,KS4,edexcel,,Physical wellbeing,both,,
es,1595.0,(to) practise | practising,practicar,v,,KS4,edexcel,,Physical wellbeing,both,,
es,1600.0,drug,la droga,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,1629.0,(to) hurt | hurting,doler,v,,KS4,edexcel,,Physical wellbeing,both,,
es,1659.0,"ear, hearing",el oído,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,1676.0,"(to) wash | washing; (to) wash (oneself), have a wash | washing oneself, having a wash",lavar; lavarse,v,,KS4,edexcel,,Physical wellbeing,both,,
es,1677.0,old person,"anciano (m), anciana",n,(mf),KS4,edexcel,,Physical wellbeing,both,,
es,1697.0,dress,el vestido,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,1710.0,clean,limpio,adj,,KS4,edexcel,,Physical wellbeing,both,,
es,1713.0,(to) clean | cleaning,limpiar,v,,KS4,edexcel,,Physical wellbeing,both,,
es,1741.0,"(to) go for a walk, ride | going for a walk, riding",pasear,v,,KS4,edexcel,,Physical wellbeing,both,,
es,1749.0,(to) rest | resting,descansar,v,,KS4,edexcel,,Physical wellbeing,both,,
es,1818.0,"tired, tiring",cansado,adj,,KS4,edexcel,,Physical wellbeing,both,,
es,1839.0,knee,la rodilla,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,1854.0,dirty,sucio,adj,,KS4,edexcel,,Physical wellbeing,both,,
es,1883.0,(to) smoke | smoking,fumar,v,,KS4,edexcel,,Physical wellbeing,both,,
es,1925.0,fruit,la fruta,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,1961.0,"healthy, wholesome",sano,adj,,KS4,edexcel,,Physical wellbeing,both,,
es,2040.0,dance,el baile,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,2114.0,(to) enjoy oneself | enjoying oneself,divertirse,v,,KS4,edexcel,,Physical wellbeing,both,,
es,2214.0,thirst,la sed,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,2285.0,stomach,el estómago,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,2289.0,hat,el sombrero,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,2343.0,diet,la dieta,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,2359.0,throat,la garganta,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,2393.0,virus,el virus,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,2432.0,"break, interval, rest",el descanso,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,2861.0,"blonde, light (skin)",rubio,adj,,KS4,edexcel,,Physical wellbeing,both,,
es,3934.0,"pharmacy, chemist's",la farmacia,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,4335.0,vegetable,la verdura,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,4856.0,tennis,el tenis,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,,outdoors,al aire libre,adv,,KS4,edexcel,,Physical wellbeing,both,,
es,,"afternoon nap, siesta",la siesta,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,,basketball,el baloncesto,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,,cycling,el ciclismo,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,,glasses,las gafas,n,(fpl),KS4,edexcel,,Physical wellbeing,both,,
es,,swimming,la natación,n,(f),KS4,edexcel,,Physical wellbeing,both,,
es,,trainers,las zapatillas de deporte,n,(fpl),KS4,edexcel,,Physical wellbeing,both,,
es,,volleyball,el vóleibol,n,(m),KS4,edexcel,,Physical wellbeing,both,,
es,,chestnut brown,castaño,adj,,KS4,edexcel,,Physical wellbeing,both,,
